Question,Answer
What is changing?,"Starting July 2018, all newly created EC2 resources will receive longer format IDs. The new format will only apply to newly created resources; your existing resources won’t be affected. Instances and volumes already use this ID format. Through the end of June 2018, customers will have the ability to opt-in to use longer IDs. During this time, you can choose which ID format resources are assigned and update your management tools and scripts to add support for the longer format. Please visit 
this
 documentation for instructions."
Why is this necessary?,"Given how fast AWS continues to grow, we will start to run low on IDs for certain resources in 2018. In order to enable the long-term, uninterrupted creation of new resources, we need to introduce a longer ID format. All Amazon EC2 resource IDs will change to the longer format in July 2018."
Q:  I already opted in for longer IDs last year. Why do I need to opt-in again?,"In 2016, we moved to the longer ID format for Amazon EC2 instances, reservations, volumes, and snapshots only. This opt-in changes the ID format for all remaining EC2 resource types"
What will the new identifier format look like?,"The new identifier format will follow the pattern of the current identifier format, but it will be longer. The new format will be -<17 characters>, e.g. “vpc-1234567890abcdef0” for VPCs or “subnet-1234567890abcdef0” for subnets."
Which IDs are changing?,"bundle
conversion-task
customer-gateway
dhcp-options
elastic-ip-allocation
elastic-ip-association
export-task
flow-log
image
import-task
internet-gateway
network-acl
network-acl-association
network-interface
network-interface-attachment
prefix-list
route-table
route-table-association
security-group
subnet
subnet-cidr-block-association
vpc
vpc-cidr-block-assocation
vpc-endpoint
vpc-peering-connection
vpn-connection
vpn-gateway"
 How does this impact me?,"There is a good chance that you won’t need to make any system changes to handle the new format. If you only use the console to manage AWS resources, you might not be impacted at all, but you should still update your settings to use the longer ID format as soon as possible. If you interact with AWS resources via APIs, SDKs, or the AWS CLI, you might be impacted, depending on whether your software makes assumptions about the ID format when validating or persisting resource IDs. If this is the case, you might need to update your systems to handle the new format.
Some failure modes could include:
If your systems use regular expressions to validate the ID format, you might error if a longer format is encountered.
If there are expectations about the ID length in your database schemas, you might be unable to store a longer ID."
Will this affect existing resources?,"No. Only resources that are created after you opt-in to the longer format will be affected. Once a resource has been assigned an ID (long or short), that ID will never change. Each ID is unique and will never be reused. Any resource created with the old ID format will always retain its shorter ID. Any resource created with the new format will retain its longer ID, even if you opt back out."
When will this happen?,"Through the end of June 2018, longer IDs will be available for opt-in via APIs and the EC2 Console. All accounts can opt-in and out of longer IDs as needed for testing. Starting on July 1, 2018, the option to switch formats will no longer be available, and newly created EC2 resources to receive longer IDs. All regions launching in July 2018 and onward will only support longer IDs."
Why is there an opt-in period?,"We want to give you as much time as possible to test your systems with the new format. This transition time offers maximum flexibility to test and update your systems incrementally and will help minimize interrupts as you add support for the new format, if necessary."
How do I opt in and out of receiving longer IDs?,"Throughout the transition period (Now through the end of June 2018), you can opt to receive longer or shorter IDs by using the APIs or the EC2 Console. Instructions are provided in 
this
 documentation."
What will happen if I take no action?,"If you do not opt-in to the new format during the transition period, you will be automatically begin receiving the longer format IDs after July 1, 2018. We do not recommend this approach. It is better to add support for the new format during the transition window, which offers the opportunity for controlled testing."
What if I prefer to keep receiving the shorter ID format after the end of June 2018?,This is not possible regardless of your user settings specified.
When will the longer IDs’ final transition happen?,"In July 2018, your newly created resources will start to receive longer IDs. You can check the scheduled transition date for your each region by using the AWS CLI 
describe-id-format
."
"If I opt in to longer IDs and then opt back out during the transition period, what will happen to resources that were created with longer IDs?","Once a resource has been assigned an ID it will not change, so resources that are created with longer IDs will retain the longer IDs regardless of later actions. If you opt in to the longer format, create resources, and then opt out, you will see a mix of long and short resource IDs, even after opting out. The only way to get rid of long IDs will be to delete or terminate the respective resources. For this reason, exercise caution and avoid creating critical resources with the new format until you have tested your tools and automation."
What should I do if my systems are not working as expected before the transition period ends?,"If your systems are not working as expected during the transition period, you can temporarily opt out of longer format IDs and remediate your systems, however your account will automatically be transitioned back to using longer IDs after the end of June 2018. Regardless of your account settings, all new resources will receive the longer format IDs, so it is important for you to test your systems with longer format IDs before the transition period ends. By testing and opting in earlier, you give yourself valuable time to make modifications to your resources with short resource IDs and you minimize the risk of any impact to your systems."
What will happen if I launch resources in multiple regions during the transition period?,"Your resources’ ID length will depend upon the region you launch your resources. If the region has already transitioned to using longer IDs, resources launched in that region will have longer format IDs; if not, they will have shorter resource IDs. Therefore, during the transition window, you may see a mix of shorter and longer resource IDs."
"If AWS adds new regions during the transition period, will new regions support longer IDs?",Yes. All new regions launching after July 2018 will issue longer format IDs by default for both new and existing accounts.
What will be the default ID type for new accounts?,"Accounts created on March 15, 2018 or later will be configured to receive the longer ID format by default in every AWS region except AWS GovCloud (US). If you are a new customer, this will make the transition to longer IDs really simple. If you would like your new account to assign the shorter ID format to your resources, then simply reconfigure your account for shorter IDs as described above. This workflow will be necessary until you are ready for your accounts to receive longer IDs."
Will I need to upgrade to a new version of the AWS SDKs or CLI?,"The following AWS CLI and SDKs are fully compatible with longer IDs: PHP v2.8.27+, PHP v3.15.0+, AWS CLI v1.10.2+, Boto3v1.2.1+, Botocorev1.3.24+, PHP v1, Boto v1, Boto v2, Ruby v1, Ruby v2, JavaScript, Java, .NET, AWS Tools for Windows PowerShell, and Go."
What is Amazon CloudSearch?,"Amazon CloudSearch is a fully-managed service in the AWS Cloud that makes it easy to set up, manage, and scale a search solution for your website or application."
What are the benefits of running a managed search service like Amazon CloudSearch over running my own search service on EC2?,"Amazon CloudSearch provides several benefits over running your own self-managed search service including easy configuration, auto scaling for data and traffic, self-healing clusters, and high availability with Multi-AZ. With a few clicks in the AWS Management Console, you can create a search domain and upload the data you want to make searchable, and Amazon CloudSearch automatically provisions the required resources and deploys a highly tuned search index."
What is a search engine?,"A search engine makes it possible to search large collections of mostly textual data items (called documents) to quickly find the best matching results. Search requests are usually a few words of unstructured text, such as ""matt damon movies"". The returned results are usually ranked with the best matching, or most relevant, items listed first (the ones that are most ""about"" the search words).
Documents may be completely unstructured, or they can contain multiple fields that can optionally be searched individually. For example, a search service for movies might have documents with fields for title, director, actor, description, and reviews. Results returned by a search engine are typically proxies for the underlying documents, such as URLs that reference particular web pages. However, the search service can also return the actual contents of individual fields."
What benefits does Amazon CloudSearch offer?,"Amazon CloudSearch is a fully managed search service that automatically scales with the volume of data and complexity of search requests to deliver fast and accurate results. Amazon CloudSearch lets customers add search capability without needing to manage hosts, traffic and data scaling, redundancy, or software packages. Users pay low hourly rates only for the resources consumed. Amazon CloudSearch can offer significantly lower total cost of ownership compared to operating and managing your own search environment."
Can Amazon CloudSearch be used with a storage service?,"A search service and a storage service are complementary. A search service requires that your documents already be stored somewhere, whether it's in files of a file system, data in Amazon S3, or records in an Amazon DynamoDB or Amazon RDS instance. The search service is a rapid retrieval system that makes those items searchable with sub-second latencies through a process called indexing."
Can Amazon CloudSearch be used with a database?,"Search engines and databases are not mutually exclusive - in fact, they are often used together. If you already have a database that contains structured data, you might want to use a search engine to intelligently filter and rank the database contents using search keywords as relevance criteria.
A search service can be used to index and search both structured and unstructured data. Content can come from multiple sources and can include database fields along with files in a variety of formats, web pages, and so on. A search service can support customizable result ranking as well as special search features such as using facets for filtering that are not available in databases."
What regions is Amazon CloudSearch available in?,"Amazon CloudSearch is available in the following AWS Regions: US East (Northern Virgina), US West (Oregon), US West (N. California), EU (Ireland), EU (Frankfurt), South America (Sao Paulo) and Asia Pacific (Singapore, Tokyo, Sydney, and Seoul)."
What new features does Amazon CloudSearch support?,"With this latest release Amazon CloudSearch supports several new search and administration features. The key new features include:
Language support: 
            
34 languages, plus ""multiple"" to handle mixed language fields
Per-field language configuration
Language-specific text analysis
Multiple levels of algorithmic stemming are available for many languages, including ""none""
Enhanced search features: 
            
Suggestions
Highlighting
Geospatial search
New data types: date, double, 64 bit signed int, latlon
Sloppy phrase search
Term boosting
Enhanced range searching for all field types
Support for multiple query parsers: simple, structured, lucene, dismax"
Query parser configuration options,"Administration features: 
            
High availability option
IAM integration
User configurable scaling
Available in additional AWS Regions: Asia Pacific (Tokyo), Asia Pacific (Singapore), Asia Pacific (Sydney), Asia Pacific (Seoul), and South America (Sao Paulo)"
Does Amazon CloudSearch still support dictionary stemming?,Yes. The new version of Amazon CloudSearch supports dictionary stemming in addition to algorithmic stemming.
Does the new version of Amazon CloudSearch use Apache Solr?,"Yes. The latest version of Amazon CloudSearch has been modified to use Apache Solr as the underlying text search engine. Amazon CloudSearch now provides several popular search engine features available with Apache Solr in addition to the managed search service experience that makes it easy to set up, operate, and scale a search domain."
Can I access the new version of Amazon CloudSearch through the console?,"Yes. You can access the new version of Amazon CloudSearch through the console. If you are a current Amazon CloudSearch customer with existing search domains, you have the option to select which version of Amazon CloudSearch you want to use when creating new search domains. New customers will use the new version of Amazon CloudSearch by default and will not have access to the 2011-01-01 version."
What data types does the new version of Amazon CloudSearch support?,"Amazon CloudSearch supports two types of text fields, text and literal. Text fields are processed according to the language configured for the field to determine individual words that can serve as matches for queries. Literal fields are not processed and must match exactly, including case. CloudSearch also supports four numeric types: int, double, date, and latlon. Int fields hold 64-bit, signed integer values. Double fields hold double-width floating point values. Date fields hold dates specified in UTC (Coordinated Universal Time) according to IETF RFC3339: yyyy-mm-ddT00:00:00Z. Latlon fields contain a location stored as a latitude and longitude value pair."
Will my existing search domains created with the 2011-02-01 version of Amazon CloudSearch continue to work?,Yes. Existing search domains created with the 2011-02-01 version of Amazon CloudSearch will continue to work.
Will I be able to use the new features on my existing search domains created with the 2011-01-01 version of Amazon CloudSearch?,No. Existing search domains created with the 2011-01-01 version of Amazon CloudSearch will not have access to the features available in the new version. To access the new features you will have to create a new search domain using the 2013-01-01 version of Amazon CloudSearch.
How can I migrate my applications built using the 2011-01-01 version of Amazon CloudSearch to the new version of Amazon CloudSearch?,"To use the new version of Amazon CloudSearch you need to recreate existing domains using the new version of Amazon CloudSearch and re-upload your data. For more information, see 
Migrating to the 2013-01-01 API
 in the Amazon CloudSearch Developer Guide."
Will AWS continue to support the 2011-02-01 version of Amazon CloudSearch?,Yes. AWS will continue support for the 2011-02-01 version of Amazon CloudSearch.
Can I create new search domains using the 2011-02-01 version of Amazon CloudSearch?,Current Amazon CloudSearch customers who have existing 2011-02-01 domains will be able to choose whether their new domains use the 2011-02-01 API or the new 2013-01-01 API. Search domains created by new customers will automatically be created with the 2013-01-01 API.
Can I take advantage of the free trial offer with the new version of Amazon CloudSearch?,"New customers will still be able to take advantage of the free trial offer available with Amazon CloudSearch. See the 
Amazon CloudSearch Free Trial
 page for details."
How do I get started with Amazon CloudSearch?,"To sign up for Amazon CloudSearch, click the 
Create Free Account
 button on the Amazon CloudSearch detail page and complete the sign-up process. You must have an Amazon Web Services account. If you do not already have one, you will be prompted to create an AWS account when you begin the Amazon CloudSearch sign-up process.
After you have signed up, select 
Amazon CloudSearch
 from the AWS Management Console. Using the Amazon CloudSearch console you can quickly create a search domain, configure your search fields, upload sample data, and send search queries to your search domain. You can also use the AWS SDKs and the CLI to perform these operations.
For more information, see the 
Getting Started
 tutorial in the 
Amazon CloudSearch Developer Guide
."
Do the AWS SDKs support Amazon CloudSearch?,"Yes, the AWS SDKs for Java, Ruby, Python, .Net, PHP, and Node.js provide support for CloudSearch. Using the AWS SDKs you can quickly create a search domain, configure your search fields, upload data, and send search queries to your search domain."
 Does the AWS CLI support Amazon CloudSearch?,"Yes, the AWS CLI provides support for CloudSearch. Using the AWS CLI you can quickly create a search domain, configure your search fields, upload data, and send search queries to your search domain."
Can I still use the Amazon CloudSearch CLTs?,"Yes, the Amazon CloudSearch CLTs will continue to work."
What is a search domain and how do I create one?,"A search domain is a data container and a set of services that make the data searchable. These services include:
A document service that allows you upload data to your domain for indexing.
A search service that allows you to perform search requests against your indexed data.
A configuration service for controlling your domain's behavior (including relevance ranking).
You can create, manage, and delete search domains using the AWS Management Console, AWS SDKs, or AWS CLI."
How do I upload documents to my search domain?,"You upload documents to your domain using the AWS Management Console, AWS SDKs, or AWS CLI."
Do my documents need to be in a particular format?,"To make your data searchable, you need to format your data in JSON or XML.  Each item that you want to be able to receive as a search result is represented as a document. Every document has a unique document ID and one or more fields that contain the data that you want to search and return in results. Amazon CloudSearch generates a search index from your document data according to the index fields configured for the domain. As your data changes, you submit updates to add or delete documents from your index."
How do I create document batches formatted for Amazon CloudSearch?,"To create document batches that describe your data, you create JSON or XML text files that specify:
The operation type: add or delete
A unique identifier
The actual fields and their data
The following example shows a single document batch formatted in JSON:
Note that numeric values such as the year are not enclosed in quotes, and that values in a multi-value field such as genres are listed in a JSON array.
To make this data available to Amazon CloudSearch, you can save it to a file and upload it using the AWS Management Console, AWS SDKs, or AWS CLI."
How do my documents get indexed?,Documents are automatically indexed when you upload them to your search domain. You can also explicitly re-index your documents when you make configuration changes by sending an IndexDocuments request.
When do I need to re-index my domain?,"Certain configuration options, such as adding a new index field or updating your stemming or stopword dictionaries, are not available until your domain is re-indexed. When you have made changes that require indexing, the domain’s status will indicate that it needs to be indexed. You can initiate indexing from the AWS Management Console, AWS SDKs, or AWS CLI."
How do I send search requests to my search domain?,"Every search domain has a REST-based search service with a unique URL (search endpoint) that accepts search requests for its document set. You can send search requests from the AWS Management Console, AWS SDKs, or AWS CLI."
Can a search domain span multiple Availability Zones?,"Yes. If you enable the Multi-AZ option, Amazon CloudSearch deploys additional instances in a second availability zone in the same Region. For more information, see 
Configuring Availability Options
 in the Amazon CloudSearch Developer Guide."
Can I move a search domain from one region to another?,"At this time, there is no way to automatically migrate a search domain from one region to another. You will need to create a new domain in the target region, configure the domain and upload your data, then delete the original domain."
How do I delete my search domain?,"To delete a search domain, click on Delete Domain button in the Amazon CloudSearch console. You can also delete domains through the AWS SDKs or AWS CLI."
How do I delete documents from my search domain?,"To delete documents you specify a delete operation in your batch upload that contains the ID of the document you want to remove.
You can submit data updates through the AWS Management Console, AWS SDKs, or AWS CLI."
How do I empty my search domain?,"If you wish to maintain your domain’s endpoints, you can send a delete for each document that is in your domain."
"Why is my domain in the ""Processing"" state?","A domain can be in one of three different states: “processing,” “active,” or “reindexing.” Normally, your domain will be in the “active” state, which indicates that no changes are currently being made, that the domain can be queried and updated, and that all previous changes are currently visible in the search results.
When a domain needs to be re-indexed, Amazon CloudSearch needs to rebuild the index entirely. However, the domain does not enter the “processing” state until you initiate reindexing. During this stage, the domain can still be queried and updated, but the configuration changes won't be visible in search results until indexing is completed, and the domain's status changes back to “active.”
You can also continue to upload document batches to your domain. However, if you submit a large volume of updates while your domain is in the “processing” state, it can increase the amount of time it takes for the updates to be applied to your search index. If this becomes an issue, slow down your update rate until the domain returns to the “active” state."
What are the best practices for bootstrapping data into CloudSearch?,"After you’ve launched your domain, the next step is loading your data into Amazon CloudSearch. You’ll likely need to upload a single large dataset, and then make smaller updates or additions as new data comes in. The following guidelines will help make bootstrapping your initial data into CloudSearch quick and easy.
1. Use the curl-v command line tool when preparing your script
During the upload of a dataset, the script you’ve written reads your data and uses it to create JSON or XML documents. We recommend preparing this script in advance, and using curl or another simple command line tool to see if you’re able to upload the documents that the script creates. The “-v” option in curl often provides more detailed information about syntax problems than the AWS SDK or Boto, which both suppress errors for production purposes. Curl displays more detailed error messages, which helps identify the sources of any issues.
2. Use the UTF-8 character code
Make sure that all data is formatted in the UTF-8 character code format, and that any bad Unicode characters have been removed before uploading to CloudSearch. Illegal characters will cause the document upload to fail.
3. Batch your documents
Batching your documents is perhaps the most important step in data bootstrapping. Submitting documents to CloudSearch individually is not only inefficient, but also leads to preventable errors.
A document batch is simply a collection of add and delete operations that represent the documents you want to add, update, or delete from your domain. Batches are described in either JSON or XML, and when you upload them to a domain, the data is indexed automatically, according to the domain's indexing options. Since you’re billed for the total number of document batches uploaded to your search domain, it’s more cost-effective to upload your data in batches of 5 MB, the maximum allowed per upload. You can also upload batches in parallel to reduce the amount of time it takes to upload your data.
 4. Pre-scale
It’s also important to pre-scale your data before uploading it to CloudSearch. Pre-scaling involves selecting the appropriate instance type for the amount of data you wish to upload.
Choosing an instance with enough capacity to handle the size of your upload can help prevent errors and a high replication count. Although replication can help decrease search response time, it doesn’t increase the size of the data pipe or address core problems in data uploads.
CloudSearch will automatically scale up to larger instances as you send more data. Still, pre-selecting the appropriate instance type saves time later in the bootstrapping process, as scaling from one instance to another tends to be a slower process. Below is a sample script to pre-scale the domain for boostrapping and to restore the instance type after data is loaded.
Pre-scale before bootstrapping:
Restore after data loading:"
What are some ways to avoid 504 errors?,"If you’re seeing 504 errors or high replication counts, try moving to larger instance type. For example, if you’re having problems with m3.large, move up to m3.xlarge. If you continue to get 504 errors even after pre-scaling, start batching the data and increase the delay between retries."
What are the best practices to accelerate domain configuration and re-indexing?,"When you change the configuration options of your search domain, you must rebuild your search index for those changes to take effect in search results. Rebuilding the index can take 30 to 60 minutes whether you make one configuration change at a time or several configuration changes at once. Even if your domain has only a small number of documents, re-indexing takes this time because of the processing and provisioning necessary to build the index and distribute it. Therefore, you should plan your configuration changes ahead of time, make all of your changes at once, and then re-index your domain. The same applies when setting up a new domain - plan your configuration before you set it up so that you can index only once and get up and running in the shortest time possible.
 Some domain changes require re-indexing while others just require re-deploying the existing index. Redeploying the domain takes 10 to 15 minutes compared to 30-60 minutes for re-indexing. During re-deployment, CloudSearch creates new nodes, deploys the index on them, and shuts down the old nodes. Your domain status changes to “Processing” during re-deployment. When re-indexing is needed, your domain status changes to “Needs Indexing,” followed by “Processing” once you have initiated indexing. Once the new index is created, your domain is re-deployed. The following table summarizes which changes require re-indexing followed by re-deployment and which changes require just re-deployment. Understanding this will help you better plan your configuration changes."
What search features does Amazon CloudSearch provide?,"Amazon CloudSearch provides features to index and search both structured data and plain text, including faceted search, free text search, Boolean search expressions, customizable relevance ranking, query time rank expressions, field weighting, searching and sorting of results using any field, and text processing options including tokenization, stopwords, stemming and synonyms. It also provides near real-time indexing for document updates. New features include:
Autocomplete suggestions
Highlighting
Geospatial search
New data types: date, double, 64 bit signed int, LatLon
Dynamic fields
Index field statistics 
Sloppy phrase search
Term boosting
Enhanced range searching for all field types
Search filters that don't affect relevance
Support for multiple query parsers: simple, structured, lucene, dismax"
Query parser configuration options,
What is faceting?,"Faceting allows you to categorize your search results into refinements on which the user can further search. For example, a user might search for ""umbrellas"", and facets allow you to group the results by price, such as $0-$10, $10-$20, $20-$40, and so on. Amazon CloudSearch also allows for result counts to be included in facets, so that each refinement has a count of the number of documents in that group. The example could then be: $0-$10 (4 items), $10-$20 (123 items), $20-$40 (57 items), and so on."
What languages does Amazon CloudSearch support?,"Amazon CloudSearch currently supports 34 languages: Arabic (ar), Armenian (hy), Basque (eu), Bulgarian (bg), Catalan (ca), simplified Chinese (zh-Simp), traditional Chinese (zh-Trad), Czech (cs), Danish (da), Dutch (nl), English (en), Finnish (fi), French (fr), Galician (gl), German (de), Greek (el), Hebrew (he), Hindi (hi), Hungarian (hu), Indonesian (id), Irish (ga), Italian (it), Japanese (ja), Korean (ko), Latvian (la), Norwegian (no), Persian (fa), Portuguese (pt), Romanian (ro), Russian (ru), Spanish (es), Swedish (sv), Thai (th), and Turkish (tr). In addition, Amazon CloudSearch supports a Multiple (mul) option for fields that contain mixed languages."
Does Amazon CloudSearch support geospatial search?,"Yes, Amazon CloudSearch has a native type to support latitude and longitude (latlon), so that you can easily implement geographically-based searching and sorting. For more information, see 
Searching and Ranking Results by Geographic Location
 in the Amazon CloudSearch Developer Guide."
How quickly will my uploaded documents become searchable?,Documents uploaded to a search domain typically become searchable within seconds to a few minutes.
How many search requests can I send to my search domain?,There is no intrinsic limit on the number of search requests that can be sent to a search domain.
What factors affect the latency of my search requests?,"Your search requests are typically processed within a few hundred milliseconds, frequently much faster. Latency is affected by many factors including the time it takes for your request and responses to travel between your own application and your search domain, the complexity of your search request, and how heavily you are using your search domain."
What makes one search request more complex than another?,"Amazon CloudSearch is designed to efficiently process a wide range of search requests very quickly. Search requests vary in complexity depending on the expressions that determine which documents match and additional criteria that determine how closely each document matches. Search requests that match a large number of documents take longer to process than those that match very few documents. Search requests that compute complex expressions take longer to process than those that rank using a simple criteria such as a single field. To help you understand the difference in complexity between Search requests, the time it took to process the request is returned as part of the response."
Where should I run my search application to minimize communication time with my search domain?,Applications hosted in the same AWS Region as your search domain will experience the fastest communication times.
What is a search instance?,"A search instance is a single search engine in 
the cloud
 that indexes documents and responds to search requests. It has a finite amount of RAM and CPU resources for indexing data and processing requests."
What is a search partition?,"A search partition is the portion of your data which fits on a single search instance. A search domain can have one or more search partitions, and the number of search partitions can change as your documents are indexed."
How does my search domain scale to meet my application needs?,"Search domains scale in two dimensions: data and traffic. As your data volume grows, you need more (or larger) Search instances to contain your indexed data, and your index is partitioned among the search instances. As your request volume or request complexity increases, each Search Partition must be replicated to provide additional CPU for that Search Partition. For example, if your data requires three search partitions, you will have 3 search instances in your search domain. As your traffic increases beyond the capacity of a single search instance, each partition is replicated to provide additional CPU capacity, adding an additional three search instances to your search domain. Further increases in traffic will result in additional replicas, to a maximum of 5, for each search partition."
How much data can I upload to my search domain?,"The number of partitions you need depends on your data and configuration, so the maximum data you can upload is the data set that when your search configuration is applied results in 10 search partitions. When you exceed your search partition limit, your domain will stop accepting uploads until you delete documents and re-index your domain. If you need more than 10 search partitions, please 
contact us
."
Do I need to select the number and type of search instances for my search domain?,"CloudSearch is a fully managed search service that automatically scales your search domain and selects the number and type of search instances. All search instances in a given search domain are of the same type and this type can change over time as your data or traffic grows.
You can also configure scaling options for an Amazon CloudSearch domain to:
Increase the upload capacity
Speed up search requests
Increase the search capacity
Improve fault tolerance"
What instance types does Amazon CloudSearch support?,"Amazon CloudSearch supports the following instance types:
Small Search Instance
Large Search Instance
Extra Large Search Instance
Double Extra Large Search Instance"
How do I find out the number and type of search instances in my search domain?,"You can find out the number and type of search instances in your search domain by using the AWS Management Console, AWS SDKs, or AWS CLI. The number and type of search instances change over time and automatically scale up and down according to your indexable data and search traffic."
How quickly does my search domain scale to accommodate changes in data and traffic?,"Search domains typically react to increases in traffic changes within minutes. Changes in data volume or a reduction in traffic might take longer but you can accelerate this process by invoking an IndexDocuments operation. If you are about to upload a large amount of data or expect a surge in query traffic, you can prescale your domain by setting the desired instance type and replication count. For more information, see 
Configuring Scaling Options
 in the Amazon CloudSearch Developer Guide."
Does Amazon CloudSearch support Multi-AZ deployments?,"Yes. Amazon CloudSearch supports Multi-AZ deployments. When you enable the Multi-AZ option, Amazon CloudSearch provisions and maintains extra instances for your search domain in a second Availability Zone to ensure high availability. Updates are automatically applied to the instances in both Availability Zones. Search traffic is distributed across all of the instances and the instances in either zone are capable of handling the full load in the event of a failure."
How does the new Multi-AZ feature work? Will my system experience any downtime in the event of a failure?,"When the Multi-AZ option is enabled, Amazon CloudSearch instances in either zone are capable of handling the full load in the event of a failure. If there's service disruption or the instances in one zone become degraded, Amazon CloudSearch routes all traffic to the other Availability Zone. Redundant instances are restored in a separate Availability Zone without any administrative intervention or disruption in service.
Some inflight queries might fail and will need to be retried. Updates sent to the search domain are stored durably and will not be lost in the event of a failure."
Can a search domain be deployed in more than 2 Availability Zones?,No. The maximum number of Availability Zones a domain can be deployed in is two.
Can I modify the Multi-AZ configuration on my search domain?,Yes. You can turn the Multi-AZ configuration on and off for your search domains. The service is not interrupted when this setting is changed.
Can I choose which Availability Zones my search domain is deployed in?,No. At this time Amazon CloudSearch automatically chooses an alternate Availability Zone in the same Region.
Can I choose the instance type my domain uses?,"Yes. With the latest release, Amazon CloudSearch enables you to specify the desired instance type for your domain. If necessary, Amazon CloudSearch will scale your domain up to a larger instance type, but will never scale back to a smaller instance type."
What is the fastest way to get my data into CloudSearch?,"By default, all domains start out on a small search instance. If you need to upload a large amount of data, you should prescale your domain to a larger instance type. For more information, see 
Bulk Uploads
 in the Amazon CloudSearch Developer Guide."
How do I know which instance type I should choose for my initial setup?,"For datasets of less than 1 GB of data or fewer than one million 1 KB documents, start with the default settings of a single small search instance. For larger data sets consider pre-warming the domain by setting the desired instance type. For data sets up to 8 GB, start with a large search instance. For datasets between 8 GB and 16 GB, start with an extra large search instance. For datasets between 16 GB and 32 GB, start with a double extra large search instance. 
Contact us
 if you need more upload capacity or have more than 500 GB to index."
 What additional security features are available with the new version of Amazon CloudSearch?,"With the latest release, Amazon CloudSearch now provides IAM integration for the configuration service and all search domain services. You can control access to specific Amazon CloudSearch actions and require request authentication for all requests. Requests are authenticated using Signature Version 4 signing."
How do I upload my data to Amazon CloudSearch securely?,You send us your data using a secure and encrypted SSL connection by using HTTPS instead of HTTP when you connect to Amazon CloudSearch.
My data is already encrypted. Can I just send you the encrypted data and the encryption key?,We do not support user-generated encryption keys. You will need to decrypt the data and upload it using HTTPS.
Do you support encrypted search results?,Yes. We support HTTPS for all Amazon CloudSearch requests.
How can I prevent specific users from accessing my search domain?,"Amazon CloudSearch supports IAM integration for the configuration service and all search domain services. You can grant users full access to Amazon CloudSearch, restrict their access to specific domains, and allow or deny access to specific actions."
How will I be charged and billed for my use of Amazon CloudSearch?,"There are no set-up fees or commitments to begin using the service. Following the end of the month, your credit card will automatically be charged for that month's usage. You can view your charges for the current billing period at any time on the AWS web site by logging into your Amazon Web Services account and clicking 
Account Activity
 under Your Web Services Account."
How much does it cost to use Amazon CloudSearch?,"There are no changes to the pricing structure for Amazon CloudSearch at this time. For detailed pricing information, see 
Amazon CloudSearch Pricing
."
Is a free trial available for Amazon CloudSearch?,"Yes, a free trial is available for new CloudSearch customers. For more information, see 
Amazon CloudSearch 30 Day Free Trial
."
How much does it cost to use the new version of Amazon CloudSearch?,"There are no changes to the pricing structure for Amazon CloudSearch at this time. See the 
Pricing
 page for more information."
Are there any cost savings to using the new version of Amazon CloudSearch?,The latest version of Amazon CloudSearch features advanced index compression and supports larger indexes on each instance type. This makes the new version of Amazon CloudSearch more efficient than the previous version and can result in significant cost savings.
Which Elasticsearch version does Amazon Elasticsearch Service support?,"Amazon Elasticsearch Service currently supports Elasticsearch versions 6.2, 6.0, 5.5, 5.3, 5.1, 2.3, and 1.5."
What is Amazon Elasticsearch Service?,"Amazon Elasticsearch Service is a managed service that makes it easy to deploy, operate, and scale Elasticsearch clusters in the AWS Cloud."
What is an Amazon Elasticsearch Service domain?,"Amazon Elasticsearch Service domains are Elasticsearch clusters created using the Amazon Elasticsearch Service console, CLI, or API. Each domain is an Elasticsearch cluster in the cloud with the 
           

             compute 
           
 and storage resources you specify. You can create and delete domains, define infrastructure attributes, and control access and security. You can run one or more Amazon Elasticsearch Service domains."
What does Amazon Elasticsearch Service manage on my behalf?,"Amazon Elasticsearch Service manages the work involved in setting up a domain, from provisioning infrastructure capacity in the network environment you request to installing the Elasticsearch software. Once your domain is running, Amazon Elasticsearch Service automates common administrative tasks, such as performing backups, monitoring instances and patching software. Amazon Elasticsearch Service integrates with Amazon CloudWatch to produce metrics that provide information about the state of the domains. Amazon Elasticsearch Service also offers options to modify your domain instance and storage settings to simplify the task of tailoring your domain based 
           

             to 
           
 your application needs."
Does Amazon Elasticsearch Service support the open source Elasticsearch APIs?,"Amazon Elasticsearch Service supports most of the commonly used Elasticsearch APIs, so the code, applications, and popular tools that you're already using with your current Elasticsearch environments work seamlessly. For a full list of supported Elasticsearch operations, see our 
documentation
.
Return to Top >>"
Can I create and modify my Amazon Elasticsearch Service domain through the Amazon Elasticsearch Service console?,"Yes. You can create a new Amazon Elasticsearch Service domain with the Domain Creation Wizard in the console with just a few clicks. While creating a new domain you can specify the number of instances, instance types, and EBS volumes you want allocated to your domain. You can also modify or delete existing Amazon Elasticsearch Service domains using the console."
Does Amazon Elasticsearch Service support Amazon VPC?,"Yes, Amazon Elasticsearch Service is integrated with Amazon VPC. When choosing VPC access, IP addresses from your VPC are attached to your Amazon Elasticsearch Service domain and all network traffic stays within the AWS network and is not accessible to the Internet. Moreover, you can use security groups and IAM policies to restrict access to your Amazon Elasticsearch Service domains."
Can I use CloudFormation Templates to provision Amazon Elasticsearch Service domains?,"Yes. 
AWS CloudFormation
 supports Amazon Elasticsearch Service. For more information, see the 
CloudFormation Template Reference
 documentation."
